tic,toi,cps,ra,dec,tmag,vmag,jmag,smass,sradius,t_eff,evol,ast_det,d,ruwe,rv,rv_err,rot_per,rot_amp,vsini,rhk,shk,per,per_err,epoch,t14,rp,sinc,mp,sig_id,significance,kexp,n_rv,template,h,counts,texpmin,twithoverheads,nobs,ttothr,hexp,priority,pipeline,disp,public_comments,tks_comments,vetting,ao_vet,hires_prv,apf_prv,prv_plan,hires_next_run_notes,nobs_goal_keck,min_cadence_keck,exp_keck,texp_keck,n_shots_keck,n_visits_night_keck,nobs_goal_apf,min_cadence_apf,exp_apf,texp_apf,n_shots_apf,n_visits_night_apf,hires_complete,apf_complete
441462736,197.01,221416,353.033600,-21.801400000000,7.3,8.2,6.6,1.21,2.94,5083,SG,1.00,96,0.9,,,,,,,,14.279000,0.00637,1357.01310,9.2,9.2,100,74.9,1,14.0,12.9,,1,,,,,,,,,spoc,P,evolved star,,passed,passed,yes,,,,,,,,,,,,,,,,,
9006668,238.01,T000238,349.231362,-18.606628000000,9.9,10.7,9.2,0.84,0.77,5029,MS,0.05,81,1.0,-12.66,1.20,10.45,0.00,,,,1.272419,0.00021,1354.66918,1.4,1.8,716,3.7,1,7.6,2.5,,1,,125,11.5,13.5,60,13.5,,,spoc,CPC,centroid offset not significant.,"Transit looks good low but SNR of ~ 7, large Rp/Rs uncertainty, sval = 0.32, dV=3.1 sep=34"" NE",passed,passed,,,need freq coverage for non-transiting planet/activity (P=37),nightly in Jan/Feb (AH 1/19),60,30,125,900,1,1,,,0.1,,,,,
37749396,260.01,HIP1532,4.773193,-9.964846000000,8.5,9.9,7.4,0.63,0.62,4049,MS,0.05,20,0.9,-11.10,0.35,13.24,0.00,,,,13.470018,0.00324,1392.29441,2.0,1.8,10,3.8,1,8.3,1.4,,1,,250,10.5,12.5,60,12.5,,,spoc,CPC,only two transits,"29 HIRES obs (hip1532); only 2 transits, looks good, large Rp uncertainty. Public HARPS spectra available. PFS and ESPRESSO GTO following.  Molly performed a quick fit, and there's a 2 sigma ""detection"" phase folded RVs look promising. clear field",passed,passed,,,,high cadence June/July (RR 6/2),90,30,250,1200,1,1,,,0.1,,,,,
164767175,266.01,HIP8152,26.209635,-18.400947000000,9.5,10.1,8.8,1.04,0.92,5784,MS,0.05,102,0.9,41.26,0.56,8.66,0.00,,,,10.767807,0.00493,1393.07874,3.4,2.6,91,7.1,1,9.3,2.0,,1,,250,12.3,14.3,60,14.3,,,spoc,PC,period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission,"2 planet candidates, ""period ambiguous for .01 and .02; unclear which transit belongs to which candidate; will not be observed again in nominal mission"". SpecMatch analysis looks good. clear field",passed,passed,,,,nightly in Jan/Feb (AH 1/19),60,30,250,1200,1,1,,,0.1,,,,,
164767175,266.02,HIP8152,26.209635,-18.400947000000,9.5,10.1,8.8,1.04,0.92,5784,MS,0.05,102,0.9,41.26,0.56,8.66,0.00,,,,6.191320,0.00348,1392.10497,3.4,1.9,190,4.1,2,8.5,1.4,,1,,250,12.3,14.3,60,14.3,,,spoc,STPC,period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission,"2 planet candidates, ""period ambiguous for .01 and .02; unclear which transit belongs to which candidate; will not be observed again in nominal mission"". SpecMatch analysis looks good. clear field",passed,passed,,,,nightly in Jan/Feb (AH 1/19),60,30,250,1200,1,1,,,0.1,,,,,
169765334,329.01,T000329,351.320900,-15.634700000000,10.7,11.3,10.1,1.14,1.20,6074,SG,0.05,284,1.0,,,,,,,,5.701800,0.00449,1354.94880,4.5,5.9,3576,29.1,1,9.0,10.7,,0,,,,,,,,,qlp,LEPC,,,passed,passed,yes,,,,,,,,,,,,,,,,,
94986319,421.01,T000421,81.853443,-14.276947000000,9.3,9.9,8.5,0.92,0.86,5320,MS,0.05,75,1.0,79.15,0.42,,,,,,16.068919,0.00042,1440.13110,2.7,5.1,36,22.9,1,47.2,6.1,,2,,250,10.9,12.9,60,12.9,,,spoc,VPC,follow up in progress,"Excellent photometric properties, but R* uncertainty is high (unknown reasons; star looks Solar based on GAIA).  Possible second planet in system.  Atmospheric target, R/M target. Very promising sub-Saturn sized planet. dT=5.4 sep=6.9"" N, dV=5.4 sep=29"" NW",passed,passed,yes,yes,"Relevant to multiple TKS programs, 5 sigma mass measurement, consider publishing soon",nightly in January; reeval later (AH 1/19),60,30,250,900,1,1,30,,0.1,,1,1,,
31374837,431.01,HIP26013,83.269151,-26.724584000000,8.2,9.1,7.3,0.80,0.73,4891,MS,0.05,33,1.2,48.78,0.30,,,,,,12.459410,0.00080,1440.63138,3.4,3.6,28,12.6,1,58.0,4.0,,1,,250,5.1,7.1,60,7.1,,,qlp,VPC,,clear field,passed,passed,yes,yes,"Relevant to multiple TKS programs, both planets phasing up ",nightly (multi-shots) in Jan/Feb (AH 1/19),60,30,250,500,1,3,30,,0.1,,1,1,,
31374837,431.02,HIP26013,83.269151,-26.724584000000,8.2,9.1,7.3,0.80,0.73,4891,MS,0.05,33,1.2,48.78,0.30,,,,,,0.490058,0.00001,1438.37978,1.1,1.4,2126,2.5,2,24.2,2.4,,1,,250,5.1,7.1,60,7.1,,,spoc,CPC,,clear field,passed,passed,yes,yes,"Relevant to multiple TKS programs, both planets phasing up ",nightly (multi-shots) in Jan/Feb (AH 1/19),60,30,250,500,1,3,30,,0.1,,1,1,,
70899085,442.01,T000442,64.190000,-12.084000000000,10.7,12.5,9.5,0.59,0.61,3779,MS,0.05,53,1.2,-8.04,0.27,9.74,0.00,,,,4.052030,0.00016,1438.38552,1.3,4.6,39,19.3,1,55.0,10.9,,1,,30,13.8,15.8,60,15.8,,,qlp,VPC+,,clear field,passed,passed,no,no,"TKS-atmo. Cooked. Our RVs supporting paper by S. Dreizler, nominally too faint for TKS-Shallow, but potentially reconsider later",few obs in Jan/Feb (AH 1/19),30,30,30,,,,,,0.1,,,,,
