radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TIC,TSM_Vmag_priority,X_priority,vip_rank
1,1,1,,TRAPPIST-1 f,1.045,9.20669,2559.0,0.382,,1.0,,1.1194334116231206,26.358026659285112,,,,1.0,1.0,
1,1,1,,TRAPPIST-1 g,1.127,12.35294,2559.0,0.258,,1.0,,2.000039379990636,15.211928663404152,,,,2.0,2.0,
1,2,1,,L 98-59 d,1.57,7.4512,3412.0,4.85,,1.0,,1.6540398208375175,231.8597710918184,,,,2.0,,
1,2,1,spoc,1680.01,1.5320340000000001,4.802445,3231.0,4.451358,370.461326,0.0,15.87,3.501675663413784,63.88963963592665,1074380.4338030333,5.9466495875928775e-05,259168516.0,1.0,2.0,
1,2,1,,LTT 1445 A b,1.38,5.35882,3337.0,5.9621850887989885,,1.0,,1.976975297453957,43.816647477623704,,,,3.0,,
1,2,1,spoc,455.01,1.368307,5.358807,3562.0,7.379878999999999,420.370338,0.0,10.59,2.2452084364494644,43.26958509470039,20192.80239654238,0.0021428221920355866,98796344.0,,1.0,
1,2,1,,TRAPPIST-1 b,1.086,1.51087081,2559.0,4.25,,1.0,,2.555840069790413,43.22837206908054,,,,,,
1,2,1,,LHS 1140 c,1.2819999999999998,3.7779309999999997,3216.0,6.16,,1.0,,2.3352286741476003,26.025546783527805,,,,,,
1,2,1,spoc,256.02,1.136554,3.778378,3131.0,4.876768,379.011837,0.0,14.15,2.2385907884165857,24.90757083134978,539213.1829715664,4.619243671693241e-05,92226327.0,,3.0,
1,2,1,,TRAPPIST-1 c,1.056,2.4218233,2559.0,2.27,,1.0,,3.5455922912818885,20.917316036450238,,,,,,
1,2,1,spoc,256.01,1.369367,24.73712,3131.0,1.226056,268.378264,0.0,14.15,1.9081344419079886,14.603511934189406,742150.5009497943,1.9677291756186954e-05,92226327.0,,4.0,
1,2,1,spoc,2142.01,1.460821,9.301737,3472.0,4.6270620000000005,374.064137,0.0,13.278,1.6772025931166565,7.999286426724538,430267.82960075786,1.8591411851885402e-05,44313455.0,,5.0,
1,2,1,spoc,2095.01,1.309813,17.664629,3746.0,3.5983099999999997,351.272701,0.0,13.19,0.9375253899206054,3.6925015676433635,1269824.9327506477,2.9078823957604957e-06,235678745.0,,,
1,3,1,spoc,1746.01,1.562508,2.525267,3340.0,26.102671,576.488948,0.0,14.24,2.6441957778393363,51.60303774305106,419877.6050570399,0.00012290019072591608,232650365.0,2.0,5.0,
1,3,1,spoc,1827.01,1.333326,1.467126,3297.0,39.491955,639.362128,0.0,11.39,2.8771328423927995,44.5580435187865,25691.537616572423,0.0017343470906172687,390651552.0,1.0,1.0,
1,3,1,,GJ 1132 b,1.16,1.628931,3270.0,19.33377684980784,,1.0,,2.834932388233609,33.503928401707675,,,,3.0,,
1,3,1,,GJ 357 b,1.217,3.9307199999999995,3505.0,12.6,,1.0,,1.533174871481262,29.320883886830114,,,,,,
1,3,1,spoc,732.01,1.134371,0.768418,3329.0,83.330451,770.585234,0.0,13.14,2.424885913180149,26.8688144524825,181270.5719441125,0.00014822491132629304,36724087.0,,4.0,
1,3,1,,L 98-59 c,1.35,3.6904,3412.0,12.4,,1.0,,2.190115102684904,26.817915236319283,,,,,,
1,3,1,spoc,736.02,1.037152,0.947973,2940.0,17.930822,524.8313860000001,0.0,16.91,3.071173397587999,23.80547884157583,3639998.893726833,6.539968702353769e-06,181804752.0,,,
