radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TIC,TSM_Vmag_priority,X_priority,vip_rank
1,1,1,,TRAPPIST-1 g,1.127,12.35294,2559.0,0.258,,1.0,,2.000039379990636,15.211928663404152,,,,1.0,1.0,
1,2,1,,TRAPPIST-1 c,1.056,2.4218233,2559.0,2.27,,1.0,,3.5455922912818885,20.917316036450238,,,,1.0,1.0,
1,3,1,spoc,455.01,1.368307,5.358807,3562.0,7.379878999999999,420.370338,0.0,10.59,2.2452084364494644,43.26958509470039,20192.80239654238,0.0021428221920355866,98796344.0,1.0,1.0,
1,3,1,,TRAPPIST-1 b,1.086,1.51087081,2559.0,4.25,,1.0,,2.555840069790413,43.22837206908054,,,,2.0,5.0,
1,3,1,,L 98-59 c,1.35,3.6904,3412.0,12.4,,1.0,,2.190115102684904,26.817915236319283,,,,3.0,3.0,
1,3,1,,LHS 1140 c,1.2819999999999998,3.7779309999999997,3216.0,6.16,,1.0,,2.3352286741476003,26.025546783527805,,,,,4.0,
1,3,1,spoc,2267.01,1.205886,3.4949589999999997,3022.0,6.069692,400.323809,0.0,15.56,2.2489034679696664,11.070861561015294,1957799.8815521512,5.654746261522027e-06,459837008.0,,2.0,
1,4,1,spoc,1827.01,1.333326,1.467126,3297.0,39.491955,639.362128,0.0,11.39,2.8771328423927995,44.5580435187865,25691.537616572423,0.0017343470906172687,390651552.0,1.0,1.0,
1,4,1,,GJ 1132 b,1.13,1.628931,3270.0,19.33377684980784,,1.0,,2.834932388233609,30.97113310498509,,,,3.0,4.0,
1,4,1,spoc,736.02,1.037152,0.947973,2940.0,17.930822,524.8313860000001,0.0,16.91,3.071173397587999,23.80547884157583,3639998.893726833,6.539968702353769e-06,181804752.0,2.0,3.0,
1,4,1,spoc,1640.01,1.2571620000000001,1.9495209999999998,3414.0,23.372508,560.7846030000001,0.0,13.304,2.8794845003392893,19.261237318747405,149513.50956641778,0.0001288260664511461,396562848.0,,2.0,
1,4,1,,GJ 3473 b,1.264,1.1980035,3347.0,59.4,,1.0,,2.2168812585274664,14.603304750950267,,,,,5.0,
